2a13:79c7:2120::/47,BE,BE-WAL,Charleroi,6000
2a13:79c7:2122::/47,DE,DE-NW,Düsseldorf,40472
2a13:79c7:2124::/47,FR,FR-75C,Paris,75008
2a13:79c7:2126::/47,NL,NL-NH,Amsterdam,1060
2a13:79c7:2128::/47,CH,CH-ZH,Zürich,8000
